id,grupo_tcc,titulo,autor,orientador,pesquisador,ano_defesa,curso_fonte
41,Pedagogia,FORMAÇÃO DE PROFESSORES NA RESOLUÇÃO CNE/CP No 02/2019 DO MEC,MARIA JOSÉ SOUZA MONTEIRO,Prof. Dr. João Paulino da Silva Neto,Karimy Manuelle da Silva Balbino.,2022,Pedagogia
40,Pedagogia,UMA REFLEXÃO SOBRE O TRABALHO DAS CUIDADORAS POR MEIO DO OLHAR DA CUIDADORA-PEDAGOGA NA CASA MÃE,JÉSSICA PEREIRA DA SILVA,Prof. Dr. João Paulino da Silva Neto,Karimy Manuelle da Silva Balbino,2022,Pedagogia
39,Pedagogia,O ESTÁGIO CURRICULAR NA GESTÃO E COORDENAÇÃO PEDAGÓGICA NO CONTEXTO DA PANDEMIA DE COVID-19: REFLEXÕES SOBRE POSSIBILIDADES E DIFICULDADES,Darcilene de Souza Aquino,Edlauva Oliveira dos Santos,JELYNNE EWELLYN FELIPE PINTO,2021,Pedagogia
37,Pedagogia,EDUCAÇÃO ESCOLAR INDÍGENA: DISCUSSÃO E RELATO DE VIVÊNCIA,Sarah Pereira da Silva,Maria Socorro Alves de Souza,JELYNNE EWELLYN FELIPE PINTO,2023,Pedagogia
42,Pedagogia,PEDAGOGO NO JUDICIÁRIO: RELATO DE EXPERIÊNCIA DE ESTÁGIO DE UM PEDAGOGO NA ESCOLA DO PODER JUDICIÁRIO DE RORAIMA,Kawanny Oliveira de Lucena,"Maria Edith Romano Siems Professora do Centro de Educação da Universidade Federal de Roraima e Pedagoga pela Faculdade de Filosofia Ciências e Letras de Sorocaba, com mestrado em Educação pela Universidade Federal de Juiz de Fora, com doutorado em Educação Especial (Educação do Indivíduo Especial) pela Universidade Federal de São Carlos e pós-doutorado em Educação pelo Instituto de Educação da Universidade de Lisboa.",Jelynne Ewellyn Felipe Pinto,2022,Pedagogia
36,Pedagogia,ATRIBUIÇÕES DO COORDENADOR PEDAGÓGICO NAS ESCOLAS MUNICIPAIS DE BOA VISTA-RR: UMA ANÁLISE A PARTIR DO MANUAL DA ESCOLA DO IAB,Bruna Carolina Silva Magalhães,Prof.a Dr.a Edlauva Oliveira dos Santos,Karimy Manuelle da Silva Balbino.,2019,Pedagogia
35,Pedagogia,PROGRAMA RESIDÊNCIA PEDAGÓGICA: RELATO DE UMA EXPERIÊNCIA NOS ANOS INICIAIS DO ENSINO FUNDAMENTAL NO CONTEXTO DA PANDEMIA DE COVID-19.,Amanda Macêna da Silva.,Edlauva Oliveira dos Santos.,JELYNNE EWELLYN FELIPE PINTO,2021,Pedagogia
38,Pedagogia,COORDENAÇÃO PEDAGÓGICA: DESAFIOS E SUPERAÇÃO NO ENSINO REMOTO EM TEMPOS DE PANDEMIA DA COVID-19,MARINALVA PACHECO DA SILVA,Prof.o Dr. João Paulino da Silva Neto.,Karimy Manuelle da Silva Balbino.,2022,Pedagogia
43,Pedagogia,A CONFIGURAÇÃO DOCENTE: SER PROFESSORA E LIDERANÇA EM UMA COMUNIDADE INDÍGENA DE AMAJARI - RORAIMA,ALEXANDRINA PEREIRA DA SILVA,Prof. Dra. Gilvete de Lima Gabriel,Jelynne Ewellyn Felipe Pinto,2023,Pedagogia
113,Pedagogia,PERFIL DOS ESTAGIÁRIOS DO CURSO DE PEDAGOGIA DA UFRR QUE ACOMPANHAM ALUNOS COM AUTISMO EM SALAS REGULARES,RAFAEL PAIVA RIBEIRO DOS SANTOS,Prof.ª Dra. Cinara Franco Rechico Barberena,Laíne Pereira Fernandes,2019,Pedagogia
